filename,tag,x,y,lon,lat,alt
frame_000237.png,A1,651,768,8.21836188,51.41810581,465.763
frame_000237.png,A2,823,720,8.21837739,51.41811337,465.715
frame_000237.png,A3,845,968,8.21835745,51.41812519,465.833
frame_000237.png,A4,678,921,8.21835015,51.41811364,465.814
frame_000238.png,A1,917,768,8.21836188,51.41810581,465.763
frame_000238.png,A2,1093,720,8.21837739,51.41811337,465.715
frame_000238.png,A3,1114,972,8.21835745,51.41812519,465.833
frame_000238.png,A4,943,922,8.21835015,51.41811364,465.814
frame_000239.png,A1,1113,767,8.21836188,51.41810581,465.763
frame_000239.png,A2,1292,717,8.21837739,51.41811337,465.715
frame_000239.png,A3,1315,973,8.21835745,51.41812519,465.833
frame_000239.png,A4,1139,922,8.21835015,51.41811364,465.814
frame_000240.png,A1,1192,771,8.21836188,51.41810581,465.763
frame_000240.png,A2,1373,722,8.21837739,51.41811337,465.715
frame_000240.png,A3,1397,979,8.21835745,51.41812519,465.833
frame_000240.png,A4,1220,929,8.21835015,51.41811364,465.814
frame_000241.png,A1,1139,756,8.21836188,51.41810581,465.763
frame_000241.png,A2,1318,798,8.21837739,51.41811337,465.715
frame_000241.png,A3,1343,964,8.21835745,51.41812519,465.833
frame_000241.png,A4,1166,913,8.21835015,51.41811364,465.814
frame_000242.png,A1,963,713,8.21836188,51.41810581,465.763
frame_000242.png,A2,1139,667,8.21837739,51.41811337,465.715
frame_000242.png,A3,1162,918,8.21835745,51.41812519,465.833
frame_000242.png,A4,989,869,8.21835015,51.41811364,465.814
frame_000243.png,A1,892,681,8.21836188,51.41810581,465.763
frame_000243.png,A2,1070,636,8.21837739,51.41811337,465.715
frame_000243.png,A3,1090,887,8.21835745,51.41812519,465.833
frame_000243.png,A4,918,837,8.21835015,51.41811364,465.814
frame_000244.png,A1,819,684,8.21836188,51.41810581,465.763
frame_000244.png,A2,996,939,8.21837739,51.41811337,465.715
frame_000244.png,A3,1017,892,8.21835745,51.41812519,465.833
frame_000244.png,A4,844,841,8.21835015,51.41811364,465.814
frame_000245.png,A1,768,652,8.21836188,51.41810581,465.763
frame_000245.png,A2,948,606,8.21837739,51.41811337,465.715
frame_000245.png,A3,968,863,8.21835745,51.41812519,465.833
frame_000245.png,A4,794,812,8.21835015,51.41811364,465.814
frame_000246.png,A1,739,666,8.21836188,51.41810581,465.763
frame_000246.png,A2,932,615,8.21837739,51.41811337,465.715
frame_000246.png,A3,956,892,8.21835745,51.41812519,465.833
frame_000246.png,A4,768,837,8.21835015,51.41811364,465.814
frame_000247.png,A1,721,655,8.21836188,51.41810581,465.763
frame_000247.png,A2,925,601,8.21837739,51.41811337,465.715
frame_000247.png,A3,953,891,8.21835745,51.41812519,465.833
frame_000247.png,A4,754,835,8.21835015,51.41811364,465.814
frame_000248.png,A1,658,642,8.21836188,51.41810581,465.763
frame_000248.png,A2,873,580,8.21837739,51.41811337,465.715
frame_000248.png,A3,909,887,8.21835745,51.41812519,465.833
frame_000248.png,A4,697,831,8.21835015,51.41811364,465.814
frame_000249.png,A1,578,602,8.21836188,51.41810581,465.763
frame_000249.png,A2,806,533,8.21837739,51.41811337,465.715
frame_000249.png,A3,848,860,8.21835745,51.41812519,465.833
frame_000249.png,A4,621,805,8.21835015,51.41811364,465.814
frame_000250.png,A1,476,666,8.21836188,51.41810581,465.763
frame_000250.png,A2,719,596,8.21837739,51.41811337,465.715
frame_000250.png,A3,760,945,8.21835745,51.41812519,465.833
frame_000250.png,A4,520,883,8.21835015,51.41811364,465.814
frame_000251.png,A1,487,672,8.21836188,51.41810581,465.763
frame_000251.png,A2,746,600,8.21837739,51.41811337,465.715
frame_000251.png,A3,786,970,8.21835745,51.41812519,465.833
frame_000251.png,A4,530,902,8.21835015,51.41811364,465.814
frame_000252.png,A1,335,679,8.21836188,51.41810581,465.763
frame_000252.png,A2,624,601,8.21837739,51.41811337,465.715
frame_000252.png,A3,667,1011,8.21835745,51.41812519,465.833
frame_000252.png,A4,381,935,8.21835015,51.41811364,465.814
frame_000253.png,A1,354,708,8.21836188,51.41810581,465.763
frame_000253.png,A2,652,629,8.21837739,51.41811337,465.715
frame_000253.png,A3,691,1050,8.21835745,51.41812519,465.833
frame_000253.png,A4,399,969,8.21835015,51.41811364,465.814
frame_000254.png,A1,366,716,8.21836188,51.41810581,465.763
frame_000254.png,A2,655,602,8.21837739,51.41811337,465.715
frame_000254.png,A3,745,1020,8.21835745,51.41812519,465.833
frame_000254.png,A4,443,974,8.21835015,51.41811364,465.814
frame_000255.png,A1,466,942,8.21836188,51.41810581,465.763
frame_000255.png,A2,491,637,8.21837739,51.41811337,465.715
frame_000255.png,A3,900,746,8.21835745,51.41812519,465.833
frame_000255.png,A4,725,989,8.21835015,51.41811364,465.814
frame_000256.png,A1,543,1035,8.21836188,51.41810581,465.763
frame_000256.png,A2,468,740,8.21837739,51.41811337,465.715
frame_000256.png,A3,888,708,8.21835745,51.41812519,465.833
frame_000256.png,A4,802,995,8.21835015,51.41811364,465.814
frame_000257.png,A1,567,1073,8.21836188,51.41810581,465.763
frame_000257.png,A2,460,787,8.21837739,51.41811337,465.715
frame_000257.png,A3,876,710,8.21835745,51.41812519,465.833
frame_000257.png,A4,820,1006,8.21835015,51.41811364,465.814
frame_000258.png,A1,536,1206,8.21836188,51.41810581,465.763
frame_000258.png,A2,427,920,8.21837739,51.41811337,465.715
frame_000258.png,A3,842,841,8.21835745,51.41812519,465.833
frame_000258.png,A4,790,1135,8.21835015,51.41811364,465.814
