filename,tag,x,y
frame_000237.png,A1,651,768
frame_000237.png,A2,823,720
frame_000237.png,A3,845,968
frame_000237.png,A4,678,921
frame_000238.png,A1,917,768
frame_000238.png,A2,1093,720
frame_000238.png,A3,1114,972
frame_000238.png,A4,943,922
frame_000239.png,A1,1113,767
frame_000239.png,A2,1292,717
frame_000239.png,A3,1315,973
frame_000239.png,A4,1139,922
frame_000240.png,A1,1192,771
frame_000240.png,A2,1373,722
frame_000240.png,A3,1397,979
frame_000240.png,A4,1220,929
frame_000241.png,A1,1139,756
frame_000241.png,A2,1318,798
frame_000241.png,A3,1343,964
frame_000241.png,A4,1166,913
frame_000242.png,A1,963,713
frame_000242.png,A2,1139,667
frame_000242.png,A3,1162,918
frame_000242.png,A4,989,869
frame_000243.png,A1,892,681
frame_000243.png,A2,1070,636
frame_000243.png,A3,1090,887
frame_000243.png,A4,918,837
frame_000244.png,A1,819,684
frame_000244.png,A2,996,939
frame_000244.png,A3,1017,892
frame_000244.png,A4,844,841
frame_000245.png,A1,768,652
frame_000245.png,A2,948,606
frame_000245.png,A3,968,863
frame_000245.png,A4,794,812
frame_000246.png,A1,739,666
frame_000246.png,A2,932,615
frame_000246.png,A3,956,892
frame_000246.png,A4,768,837
frame_000247.png,A1,721,655
frame_000247.png,A2,925,601
frame_000247.png,A3,953,891
frame_000247.png,A4,754,835
frame_000248.png,A1,658,642
frame_000248.png,A2,873,580
frame_000248.png,A3,909,887
frame_000248.png,A4,697,831
frame_000249.png,A1,578,602
frame_000249.png,A2,806,533
frame_000249.png,A3,848,860
frame_000249.png,A4,621,805
frame_000250.png,A1,476,666
frame_000250.png,A2,719,596
frame_000250.png,A3,760,945
frame_000250.png,A4,520,883
frame_000251.png,A1,487,672
frame_000251.png,A2,746,600
frame_000251.png,A3,786,970
frame_000251.png,A4,530,902
frame_000252.png,A1,335,679
frame_000252.png,A2,624,601
frame_000252.png,A3,667,1011
frame_000252.png,A4,381,935
frame_000253.png,A1,354,708
frame_000253.png,A2,652,629
frame_000253.png,A3,691,1050
frame_000253.png,A4,399,969
frame_000254.png,A1,366,716
frame_000254.png,A2,655,602
frame_000254.png,A3,745,1020
frame_000254.png,A4,443,974
frame_000255.png,A1,466,942
frame_000255.png,A2,491,637
frame_000255.png,A3,900,746
frame_000255.png,A4,725,989
frame_000256.png,A1,543,1035
frame_000256.png,A2,468,740
frame_000256.png,A3,888,708
frame_000256.png,A4,802,995
frame_000257.png,A1,567,1073
frame_000257.png,A2,460,787
frame_000257.png,A3,876,710
frame_000257.png,A4,820,1006
frame_000258.png,A1,536,1206
frame_000258.png,A2,427,920
frame_000258.png,A3,842,841
frame_000258.png,A4,790,1135
